cluster,temperature,ice_particles,ice_mass,ice_length
1,237.698,6992,0.003702588028923051,7.957
2,266.671,318,0.00017890444887244333,0.238
3,297.009,266,0.00014621580002215754,0.17
4,266.862,109,5.759196683373718e-05,0.182
5,281.832,61,3.176955309306659e-05,0.147
6,291.367,62,3.2278367738612515e-05,0.149
7,435.77,38,2.506092916215312e-05,0.016
8,226.735,40,2.030944338149382e-05,0.109
9,243.11,1596,0.0008539870033247831,0.606
10,239.987,114,5.818904919007337e-05,0.143
11,242.88,38,1.9521973219230585e-05,0.0
12,243.86,38,1.9419085811549765e-05,0.022
13,245.694,4916,0.0026413887699743284,0.957
14,250.547,532,0.0003107987392774436,0.227
15,240.312,101,5.972796158546996e-05,0.178
16,244.488,1239,0.0007063196071980476,0.449
17,257.863,114,6.646815969347993e-05,0.104
18,270.04,38,3.641067623542297e-05,0.0
19,251.058,207,0.0001298720458375909,0.215
20,255.15,152,8.680836036484281e-05,0.181
21,273.33,38,3.8236317964433745e-05,0.047
22,255.103,228,0.00015141920549990233,0.215
23,277.53,76,6.090671284324086e-05,0.053
24,260.835,126,7.74179007189856e-05,0.186
25,250.078,427,0.0002534537162067192,0.254
26,285.49,76,5.515739421067182e-05,0.051
27,287.945,76,5.2416005536088604e-05,0.071
28,288.318,190,0.00013421836697033546,0.142
29,241.487,65,3.6489108353365e-05,0.15
30,282.005,167,0.00011387221831968925,0.173
31,248.357,532,0.00028849634388551496,0.292
32,312.18,38,3.097939168209376e-05,0.014
33,310.51,38,2.9326971266452668e-05,0.036
34,284.4,104,6.366963350581735e-05,0.158
all,246.666,19152,0.010569689256702179,7.957
