"origId","iceLabel","d","T","Points:0","Points:1","Points:2"
1875,0,1e-05,576.21,1.0492,0.048004,6.4198e-07
1860,0,1e-05,475.45,0.90924,0.064023,9.1799e-09
1909,0,1e-05,574.97,0.98563,0.049698,-2.2429e-07
1921,0,1e-05,581.86,0.99298,0.048388,1.4126e-07
1922,0,1e-05,595.23,0.99733,0.044737,3.5134e-07
1746,0,1e-05,676.55,0.6994,0.11279,-5.2196e-08
1767,0,1e-05,612.47,0.9468,0.036674,7.2824e-09
1904,0,1e-05,575.57,0.949,0.052123,-5.4209e-07
1913,0,1e-05,575.88,0.92642,0.054995,-6.9655e-07
1844,0,1e-05,535.54,0.80868,0.081217,1.1313e-07
1902,0,1e-05,615.25,1.0488,0.017106,-1.151e-07
1930,0,1e-05,591.36,0.98718,0.04548,1.5748e-07
1879,0,1e-05,678.86,0.69452,0.11438,-1.9041e-07
1923,0,1e-05,598.61,1.0565,0.03403,-4.8567e-08
1915,0,1e-05,611.51,1.0358,0.021476,-8.0007e-08
1918,0,1e-05,608.01,1.0441,0.023253,4.781e-08
1871,0,1e-05,607.65,0.90541,0.047407,-1.4648e-07
1929,0,1e-05,606.47,0.95541,0.042914,1.291e-07
1919,0,1e-05,553.39,0.83357,0.074092,-5.0606e-08
1937,0,1e-05,608.62,0.98277,0.036653,2.1034e-07
1926,0,1e-05,608.28,0.99789,0.033439,2.7386e-08
1924,0,1e-05,592.39,0.90149,0.055227,7.7781e-08
1932,0,1e-05,611.97,0.97909,0.032116,8.9731e-07
1931,0,1e-05,609.99,0.96403,0.037763,1.2008e-08
1935,0,1e-05,606.65,0.93378,0.04507,4.485e-07
1936,0,1e-05,588.43,0.90018,0.056587,-3.4136e-07
1939,0,1e-05,589.5,0.88636,0.059012,9.6844e-10
1934,0,1e-05,610.77,0.95624,0.037714,5.3425e-07
1948,0,1e-05,598.8,0.8999,0.054371,1.819e-08
1942,0,1e-05,609.04,0.92369,0.043556,-2.9697e-07
1938,0,1e-05,604.86,0.89661,0.051118,3.3039e-07
1933,0,1e-05,602.26,0.85973,0.060115,1.3685e-06
1947,0,1e-05,595.22,0.83485,0.068893,-3.1105e-07
1944,0,1e-05,595.66,0.77273,0.08879,2.6749e-07
1940,0,1e-05,610.46,0.8855,0.045486,-3.0684e-07
1945,0,1e-05,607.36,0.85858,0.055235,5.1735e-07
1927,0,1e-05,607.89,0.87667,0.051526,-2.4813e-07
1952,0,1e-05,605.9,0.79967,0.074569,-2.5074e-08
1943,0,1e-05,625.33,0.75211,0.08752,-2.5497e-07
1953,0,1e-05,612.01,0.77478,0.081596,-2.2538e-07
1959,0,1e-05,681.24,0.68127,0.11352,-3.3683e-08
1949,0,1e-05,690.02,0.65071,0.12126,-6.6239e-07
1957,0,1e-05,627.16,0.75008,0.087948,1.0845e-07
1955,0,1e-05,621.47,0.75677,0.086441,4.9476e-08
1950,0,1e-05,610.95,0.77823,0.076973,2.4421e-08
1951,0,1e-05,689.77,0.65278,0.12326,-6.5197e-07
1956,0,1e-05,643.89,0.73396,0.088554,9.0724e-08
1960,0,1e-05,653.14,0.7267,0.094715,-4.4147e-07
1963,0,1e-05,638.48,0.73901,0.089231,1.4645e-08
1961,0,1e-05,659.3,0.71906,0.094283,-1.4095e-07
1962,0,1e-05,665.17,0.70982,0.095202,2.4413e-07
1964,0,1e-05,672.92,0.69703,0.10264,2.3409e-08
1966,0,1e-05,683.03,0.67677,0.1158,-5.6074e-08
1954,0,1e-05,659.55,0.71818,0.088727,1.2844e-07
1928,0,1e-05,680.54,0.67011,0.10033,-1.6168e-07
1968,0,1e-05,677.46,0.68322,0.099791,9.9783e-08
1958,0,1e-05,694.34,0.62042,0.13229,7.0352e-08
1941,0,1e-05,691.15,0.64671,0.089353,-1.0814e-07
1971,0,1e-05,689.76,0.64829,0.11656,1.9165e-08
1967,0,1e-05,670.34,0.70064,0.095023,-6.1891e-08
1974,0,1e-05,687.49,0.65684,0.11231,-3.1231e-07
1969,0,1e-05,680.66,0.6746,0.10257,-2.4662e-07
1965,0,1e-05,676.83,0.6846,0.096902,1.093e-07
1972,0,1e-05,694.45,0.62255,0.13559,2.3304e-07
1975,0,1e-05,687.25,0.65612,0.10879,-5.8562e-07
1973,0,1e-05,689.95,0.64209,0.10799,-5.233e-09
1970,0,1e-05,687.08,0.65717,0.097417,-8.4512e-08
1946,0,1e-05,690.64,0.64808,0.091419,-9.0624e-08
1976,0,1e-05,684.24,0.66355,0.098296,2.8492e-07
1981,0,1e-05,692.29,0.63296,0.1217,-4.5615e-07
1977,0,1e-05,694.23,0.62121,0.13171,-6.1741e-08
1983,0,1e-05,693.43,0.61838,0.12302,-1.6693e-07
1980,0,1e-05,690.6,0.64207,0.096655,-1.2832e-07
1978,0,1e-05,696.52,0.58779,0.13939,-1.2888e-06
1984,0,1e-05,691.07,0.63362,0.10772,6.919e-08
1990,0,1e-05,693.27,0.61428,0.11967,3.0712e-07
1992,0,1e-05,692.21,0.62167,0.10774,3.6383e-07
1985,0,1e-05,692.78,0.61488,0.11246,1.8723e-07
1989,0,1e-05,695.05,0.59354,0.12808,-2.3019e-08
1979,0,1e-05,696.05,0.5829,0.13487,3.49e-07
1994,0,1e-05,693.79,0.60079,0.11792,-4.566e-07
1993,0,1e-05,696.25,0.58015,0.13568,-2.4515e-07
2001,0,1e-05,694.96,0.59459,0.12791,5.8695e-07
